Los Cabos San Jose,Fedex,Carretera Transpeninsular Núm. 17,Plaza las Palmas,Col. Magisterial,San Jose Del Cabo,Baja California Sur,23430,09:00,15:00,,,09:00,14:00,,,,6241052510,,,,23.0881999,-109.7071999,Fedex,SJDB
Escarcega,Fedex,Av. Justo Sierra Mendez Núm. 50,Carretera Federal A Villahermosa,Revolucion,Campeche,Campeche,24040,09:00,17:00,,,09:00,14:00,,,,9828242084,,,,19.8421093,-90.5448404,Fedex,CPEC
Campeche Terminal,Fedex,Patricio Trueba De Regil Núm. 237,Av Casa de Justicia y Av Jose Lopez Port,Col. Las Flores,San Francisco,Campeche,24097,08:00,20:00,,,09:00,14:00,,,,9818133799,,,,19.8233585,-90.5321932,Fedex,CPEB
Ciudad del Carmen Central,Fedex,Calle 25 Núm. 126,Calle 40 y 42,Tacubaya,Ciudad del Carmen,Campeche,24180,09:00,19:00,,,09:00,14:00,,,,9383840706,,,,18.6405965,-91.8263572,Fedex,CMEB
Ciudad del Carmen Terminal,Fedex,Av. Luis Donaldo Colosio Núm. S/N,Av. 20 de Nov. y Fco. Villa,Francisco I Madero,Ciudad del Carmen,Campeche,24180,09:00,14:00,,,09:00,14:00,,,,9383824875,,,,18.6405502,-91.826367,Fedex,CMEC
Ramos Arispe,Fedex,Carretera Saltillo/Monterrey KM 14.7,Cerca Aeropuerto,Col. Centro,Saltillo,Coahuila,25060,09:00,18:00,,,09:00,12:00,,,,8448662408,,,,25.4544211,-101.0292474,Fedex,SLWB
Saltillo Centro,Fedex,Blvd. Venustiano Carranza Núm. 2665,FedEx World Service Center,Jardines del Valle,Saltillo,Coahuila,25240,09:00,13:00,,,09:00,13:00,,,,8444154347,,,,25.4556374,-100.9854196,Fedex,SLWE
Monclova,Fedex,Av. De la Fuente Num 221,Gral. Bravo y Ecuado,Fracc. Carranza,Monclova,Coahuila,25760,09:00,18:30,,,09:00,13:00,,,,8666315466,,,,26.9044401,-101.4276889,Fedex,LOVB
Independencia,Fedex,Independencia  Núm. 768 Oriente,Eugenio Aguirre y Lerdo de Tejada,Col. Centro Torreon,Torreón,Coahuila,27000,09:00,19:00,,,09:00,14:00,,,,8717185097,,,,25.5550566,-103.4395838,Fedex,TRCB
Paseo De La Rosita,Fedex,Paseo De La Rosita Núm. 203 Loc-3,Durazno y Paseo de la Diligencia,Campestre La Rosita,Torreón,Coahuila,27250,09:00,14:00,,,09:00,14:00,,,,8717208550,,,,25.5322304,-103.4155644,Fedex,TRCC
