Tapachula Terminal,Fedex,Av. 17 Oriente #45,Primera y Tercera Norte,Centro,Tapachula,Chiapas,30720,09:00,19:00,,,09:00,15:00,,,,9625551010,,,,14.9169815,-92.2512241,Fedex,TAPC
Centro Chihuahua,Fedex,Avenida Teofilo Borunda #805-C,Ocampo y Diagonal Ocampo,Centro,Chihuahua,Chihuahua,31000,09:00,18:00,,,09:00,14:00,,,,6144107490,,,,28.6477958,-106.0724418,Fedex,CUUD
Norte Chihuahua,Fedex,Avenida Tecnologico #8701,Juan Escutia y 16 de Septiembre,Villa Nueva,Chihuahua,Chihuahua,31134,09:00,15:00,,,09:00,14:00,,,,6144173234,,,,28.6862323,-106.1117184,Fedex,CUUCA
Industrias Chihuahua,Fedex,Avenida  Industrias #3706,Con Av. Agustin Melgar,Zona Industrial,Chihuahua,Chihuahua,31150,09:00,19:00,,,09:00,14:00,,,,6144149102,,,,28.6663393,-106.0828828,Fedex,CUUC
Ciudad Juarez,Fedex,Calle Ampere #8861,Entre Av. De la Industria y Joule,Pque Ind. Bermudez,Ciudad Juárez,Chihuahua,32471,09:00,18:00,,,09:00,14:00,,,,6562277610,,,,31.7096494,-106.3990229,Fedex,CJSB
Delicias,Fedex,Av. 5 A Norte #411-C,Entre 4A Norte y 5A Norte,Centro;,Ciudad Delicias,Chihuahua,33000,09:00,13:00,,,09:00,14:00,,,,6394749112,,,,28.1990675,-105.471547,Fedex,CUUJ
Parral,Fedex,Av. Tecnologico #14,Acacias y Alamillo,Centro,Hidalgo Del Parral,Chihuahua,33800,09:00,13:00,,,09:00,14:00,,,,6275224671,,,,26.9300678,-105.6510059,Fedex,CUUP
Durango,Fedex,Av. 20 de Noviembre #1327,Alonso de Pacheco y Benito Crespo,Nueva Vizcaya,Durango,Durango,34080,09:00,19:00,,,09:00,14:00,,,,6188184932,,,,24.0283545,-104.6494756,Fedex,DGOB
Gomez Palacio (Las Rosas),Fedex,Blvrd Miguel Alemán #108-3,Blvd. Miguel Aleman Esq.Calle Mina,Las Rosas,Gomez Palacio,Durango,35090,09:00,19:00,,,09:00,14:00,,,,8717376700,,,,25.5538015,-103.4931801,Fedex,TRCD
Guanajuato,Fedex,Jejayote #17-A,Dentro del Hotel Real de Minas,Centro,Guanajuato,Guanajuato,36000,09:30,20:00,,,09:00,14:00,,,,4737342348,,,,21.0161198,-101.2667504,Fedex,BJXO
Silao,Fedex,Monseñor Antonio Funes #3,a un costado de la caja de ahorros,Centro,Silao,Guanajuato,36100,09:30,19:00,,,10:00,14:00,,,,4727223144,,,,20.9438235,-101.425946,Fedex,BJXX
San Francisco del Rincón,Fedex,Blvrd Juventino Rosas #214-3,En Plaza Colonial,Centro,San Francisco Del Rincón,Guanajuato,36310,09:30,15:00,,,10:00,14:00,,,,4767445619,,,,21.0304261,-101.8624034,Fedex,BJXF
Irapuato Solidaridad,Fedex,Plaza Solidaridad #12100,Entre Malpaso y Mocusari,CFE,Irapuato,Guanajuato,36631,09:00,19:00,,,09:00,14:00,,,,4626240356,,,,20.6975765,-101.3436336,Fedex,BJXCA
Irapuato,Fedex,Boulevard Diaz Ordaz #1250-A,Victoria y Halondiga,Independendencia,Irapuato,Guanajuato,36666,09:00,18:00,,,09:00,13:00,,,,4626255535,,,,20.6848459,-101.3486985,Fedex,SFHCI
Ipo las Misiones,Fedex,Blvd Lázatro Cardenas #1191-2,Jose Maria Chico y Juan de Urbina,Prol. la Moderna,Irapuato,Guanajuato,36690,10:00,18:00,,,09:00,14:00,,,,4626603124,,,,20.6785817,-101.3646498,Fedex,BJXG
Salamanca,Fedex,Av. Faja De Oro #106-B,Tomasa Esteves y Zaragoza,Centro,Salamanca,Guanajuato,36700,09:30,15:00,,,09:30,14:00,,,,4646416512,,,,20.576733,-101.1959769,Fedex,BJXS
Centro,Fedex,5 De Febrero #501,Esquina Manuel Doblado,Centro,León de los Aldama,Guanajuato,37000,09:00,19:00,,,10:00,13:30,,,,4777133526,,,,21.1197332,-101.677796,Fedex,SFHCC
Boulevard Hidalgo,Fedex,Blvd. Miguel Hidalgo #913; L-5,Entre Florida y Montes de Oca,Los Reyes,León de los Aldama,Guanajuato,37148,10:00,19:00,,,09:00,14:00,,,,4777796158,,,,21.1501814,-101.6707048,Fedex,SFHCM
Campestre,Fedex,Boulevard Campestre #601-L7,Paseo del Moral y Nube,Jardines del Moral,León de los Aldama,Guanajuato,37160,10:00,19:00,,,09:00,14:00,,,,4777735418,,,,21.1491386,-101.6907572,Fedex,BJXE
Coecillo,Fedex,Acapulco #309-B,Av San Juan y Sn Cayetano,Coecillo,León de los Aldama,Guanajuato,37260,09:30,15:00,,,09:00,14:00,,,,4777130636,,,,21.1273146,-101.6680333,Fedex,BJXC
Leon,Fedex,Blvd Adolfo Lopez Mateos Oe 1707-1,Fatima y Macarena,Los Gavilanes,León,Guanajuato,37270,10:00,19:00,,,10:00,14:00,,,,4777631957,,,,21.1183024,-101.6608909,Fedex,SFHCS
Plaza Torres Landa,Fedex,Blvd. Juan José Torres Landa #1145,FedEx World Service Center; L-05,Buenos Aires,León De Los Aldama (León),Guanajuato,37480,09:00,19:00,,,10:00,14:00,,,,4771195017,,,,21.0990852,-101.668494,Fedex,BJXN
Delta,Fedex,Beta #201,Blvd Aeropuerto y Ga,Industrial Delt,León de los Aldama,Guanajuato,37545,09:00,22:00,,,09:00,14:00,,,,4771947593,,,,21.0889186,-101.6203597,Fedex,BJXD
Celaya,Fedex,Arturo Nieto Piña #101,Esq. Blvd Adolfo López Mateos,El Renacimiento,Celaya,Guanajuato,38044,09:00,19:00,,,09:00,13:00,,,,4616092024,,,,20.5198942,-100.8316001,Fedex,QROY
